id,msg_timestamp,img_url,user_msg,bot_msg,sum_msg,date,runtime,feedback,user_id
1,1708924985892,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Describe this image.,"A black and white photograph captures the RMS Titanic as it sails through the water. The ship is surrounded by smoke, which is emitted from its smokestacks. The vessel is in the center of the image, with several other boats visible in the background. The Titanic appears to be a large and impressive vessel, with many people on board. It is an iconic representation of the ship's tragic fate, which has been immortalized in popular culture.","A black and white photograph captures the RMS Titanic as it sails through the water. The ship is surrounded by smoke, which is emitted from its smokestacks. The vessel is in the center of the image, with several other boats visible in the background. The Titanic appears to be a large and impressive vessel, with many people on board. It is an iconic representation of the ship's tragic fate, which has been immortalized in popular culture.",2024-02-26 05:23:23.000000,17.218090295791626,like,1
2,1708925006349,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is its name?,The name of the ship in the image is the RMS Titanic.,The name of the ship in the image is the RMS Titanic.,2024-02-26 05:23:29.000000,2.8995015621185303,like,1
3,1708925011374,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Where is it now?,It is in the ocean.,It is in the ocean.,2024-02-26 05:23:32.000000,1.2953543663024902,dislike,1
4,1708925020551,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How many people survived this tragedy?,700,700,2024-02-26 05:23:41.000000,1.0979795455932617,dislike,1
5,1708925030102,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Is there any movie related to this incident?,titanic,titanic,2024-02-26 05:23:51.000000,1.0840463638305664,like,1
6,1708925038935,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Why is it popular?,movie 1997,movie 1997,2024-02-26 05:24:00.000000,1.386540412902832,dislike,1
7,1708925047751,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Who was the director?,james cameron,james cameron,2024-02-26 05:24:08.000000,1.2062880992889404,like,1
8,1708925054527,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What are other movies of him?,titanic,titanic,2024-02-26 05:24:15.000000,1.1302056312561035,dislike,1
9,1708925061527,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is his most successful film?,Titanic 1997,Titanic 1997,2024-02-26 05:24:22.000000,1.5712008476257324,like,1
10,1708925071509,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How to watch that movie?,on dvd or blu-ray,on dvd or blu-ray,2024-02-26 05:24:33.000000,1.514045238494873,like,1
11,1708925085230,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What emotions I might have when watching that?,awe,awe,2024-02-26 05:24:46.000000,0.9424655437469482,dislike,1
12,1708925109976,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who are the characters in the image?,"The characters in the image are Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""","The characters in the image are Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""",2024-02-26 05:25:13.000000,3.284743309020996,like,1
13,1708925115472,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many characters are there in the image?,"There are three characters in the image: Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""","There are three characters in the image: Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""",2024-02-26 05:25:19.000000,3.724130153656006,like,1
14,1708925122440,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",What are they doing?,"Phineas, Ferb, and Candace are riding in a car together","Phineas, Ferb, and Candace are riding in a car together",2024-02-26 05:25:24.000000,2.4292359352111816,like,1
15,1708925128536,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Where are they from?,"Phineas, Ferb, and Candace are from the animated television show Phineas and Ferb.","Phineas, Ferb, and Candace are from the animated television show Phineas and Ferb.",2024-02-26 05:25:31.000000,2.774406909942627,like,1
16,1708925134906,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How long is an episode?,22 minutes,22 minutes,2024-02-26 05:25:35.000000,1.0742125511169434,like,1
17,1708925142530,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many seasons are there?,3,3,2024-02-26 05:25:43.000000,0.8741328716278076,dislike,1
18,1708925148204,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who is the villain in the series?,dr doofenshmirtz,dr doofenshmirtz,2024-02-26 05:25:49.000000,1.3290042877197266,like,1
19,1708925158219,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who are the main characters in the series?,Phineas and Ferb,Phineas and Ferb,2024-02-26 05:25:59.000000,1.4191882610321045,like,1
20,1708925164867,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How are they related?,cousins,cousins,2024-02-26 05:26:05.000000,0.9789917469024658,dislike,1
21,1708925170563,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Do they have girlfriends?,no,no,2024-02-26 05:26:11.000000,0.9598913192749023,dislike,1
