,id,msg_timestamp,img_url,user_msg,bot_msg,date,runtime,feedback,user_id,sum_msg,prompt_len,prompt,prompt_num,user_len,bot_len
0,1,1708917268400,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Describe this image.,"A black and white photograph captures the RMS Titanic as it sails through the water. The ship is surrounded by smoke, which is emitted from its smokestacks. The vessel is visible in the center of the image, with several other boats nearby. The Titanic appears to be a large and impressive vessel, with many people on board. It is an iconic image of the famous ship that has become synonymous with its tragic fate.",2024-02-26 03:14:50.000000,21.76162815093994,like,1,Describe this image.,20,Describe this image.,0,20,413
1,2,1708917454548,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is its name?,RMS Titanic 1912,2024-02-26 03:17:36.000000,1.7522037029266355,like,1,What is its name?,17,What is its name?,0,17,16
2,3,1708917464412,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Where is it now?,in water 2,2024-02-26 03:17:45.000000,1.1959095001220703,dislike,1,Where is it now?,16,Where is it now?,0,16,10
3,4,1708917474925,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How many people survived this tragedy?,705,2024-02-26 03:17:56.000000,1.1228997707366943,like,1,How many people survived this tragedy?,38,How many people survived this tragedy?,0,38,3
4,5,1708917482252,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Is there any movie related to this incident?,titanic,2024-02-26 03:18:03.000000,1.03304123878479,dislike,1,Is there any movie related to this incident?,44,Is there any movie related to this incident?,0,44,7
5,6,1708917490189,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Why is it popular?,it is a historic ship,2024-02-26 03:18:11.000000,1.168761968612671,like,1,Why is it popular?,18,Why is it popular?,0,18,21
6,7,1708917499638,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Who was the director?,james cameron 1997 film,2024-02-26 03:18:21.000000,1.8175418376922607,like,1,Who was the director?,21,Who was the director?,0,21,23
7,8,1708917508781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What are other movies of him?,titanic,2024-02-26 03:18:30.000000,1.0194861888885498,dislike,1,What are other movies of him?,29,What are other movies of him?,0,29,7
8,9,1708917516797,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is his most successful film?,Titanic 1997,2024-02-26 03:18:38.000000,1.5663502216339111,dislike,1,What is his most successful film?,33,What is his most successful film?,0,33,12
9,10,1708917527781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How to watch that movie?,in theater,2024-02-26 03:18:48.000000,1.026824951171875,dislike,1,How to watch that movie?,24,How to watch that movie?,0,24,10
