id,msg_timestamp,img_url,user_msg,bot_msg,date,runtime,feedback,user_id
1,1708917268400,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Describe this image.,"A black and white photograph captures the RMS Titanic as it sails through the water. The ship is surrounded by smoke, which is emitted from its smokestacks. The vessel is visible in the center of the image, with several other boats nearby. The Titanic appears to be a large and impressive vessel, with many people on board. It is an iconic image of the famous ship that has become synonymous with its tragic fate.",2024-02-26 03:14:50.000000,21.76162815093994,like,1
2,1708917454548,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is its name?,RMS Titanic 1912,2024-02-26 03:17:36.000000,1.7522037029266357,like,1
3,1708917464412,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Where is it now?,in water 2,2024-02-26 03:17:45.000000,1.1959095001220703,dislike,1
4,1708917474925,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How many people survived this tragedy?,705,2024-02-26 03:17:56.000000,1.1228997707366943,like,1
5,1708917482252,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Is there any movie related to this incident?,titanic,2024-02-26 03:18:03.000000,1.03304123878479,dislike,1
6,1708917490189,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Why is it popular?,it is a historic ship,2024-02-26 03:18:11.000000,1.168761968612671,like,1
7,1708917499638,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Who was the director?,james cameron 1997 film,2024-02-26 03:18:21.000000,1.8175418376922607,like,1
8,1708917508781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What are other movies of him?,titanic,2024-02-26 03:18:30.000000,1.0194861888885498,dislike,1
9,1708917516797,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is his most successful film?,Titanic 1997,2024-02-26 03:18:38.000000,1.5663502216339111,dislike,1
10,1708917527781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How to watch that movie?,in theater,2024-02-26 03:18:48.000000,1.026824951171875,dislike,1
11,1708917535607,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What emotions I might have when watching that?,"I might feel a sense of nostalgia while watching an old black and white photograph of the Titanic ship in the water. This image captures a moment from the past, reminding me of the historical significance of the Titanic's tragic story and its impact on the maritime industry. It also evokes a sense of wonder and awe at the sheer size and grandeur of the ship, which was once considered one of the most advanced and luxurious vessels of its time. The emotions associated with this image can range from sadness for those who lost their lives during the disaster to admiration for the engineering and design that went into building such a magnificent vessel.",2024-02-26 03:19:14.000000,18.526448011398315,dislike,1
12,1708917657203,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who are the characters in the image?,"The characters in the image are Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""",2024-02-26 03:21:06.000000,7.68181037902832,like,1
13,1708917671667,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many characters are there in the image?,There are four characters in the image.,2024-02-26 03:21:13.000000,1.4059650897979736,like,1
14,1708917678203,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",What are they doing?,They are riding in a car together.,2024-02-26 03:21:19.000000,1.4845101833343506,like,1
15,1708917718621,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Where are they from?,Phineas and Ferb,2024-02-26 03:22:00.000000,1.556020736694336,like,1
16,1708917728214,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How long is an episode?,22 minutes,2024-02-26 03:22:10.000000,1.0377922058105469,like,1
17,1708917734213,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many seasons are there?,3,2024-02-26 03:22:15.000000,0.8529999256134033,dislike,1
