id,msg_timestamp,img_url,user_msg,bot_msg,sum_msg,prompt,date,runtime,feedback,user_id
1,1709130597378,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Who are she?,mermaid 2,mermaid 2, Who are she?,2024-02-28 14:30:04.000000,8.220698356628418,dislike,1
2,1709130625281,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,What is her name?,ariel,ariel,mermaid 2 What is her name?,2024-02-28 14:30:25.000000,0.9872729778289795,like,1
3,1709130633162,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Where does she live?,"under the sea 20,000 leagues under the sea","under the sea 20,000 leagues under the sea",ariel Where does she live?,2024-02-28 14:30:34.000000,2.0846545696258545,dislike,1
4,1709130696396,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,What is special about her?,mermaid,mermaid,"under the sea 20,000 leagues under the sea What is special about her?",2024-02-28 14:31:37.000000,1.1328542232513428,dislike,1
5,1709130719989,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Who is her best friend?,ariel the little mermaid 1990s,ariel the little mermaid 1990s,mermaid Who is her best friend?,2024-02-28 14:32:01.000000,1.9535601139068604,dislike,1
6,1709130725677,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Is she beautiful?,yes,yes,ariel the little mermaid 1990s Is she beautiful?,2024-02-28 14:32:06.000000,0.7847585678100586,dislike,1
7,1709130734662,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,How is she feeling in the image?,Confused,Confused,yes How is she feeling in the image?,2024-02-28 14:32:14.000000,0.8515431880950928,dislike,1
8,1709130742783,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,What could be the reason for that?,"Ariel, the Disney character in the image, is shown with a confused expression on her face. This could be because she is lost or unsure of what to do next. She might be trying to find her way out of the dark forest or navigating through an unfamiliar environment. It could also be a moment of introspection, where she is pondering over a difficult decision or situation. The confusion on her face could be a reflection of her current state of mind and the challenges she is facing in her life or adventure.","Ariel, the Disney character in the image, is shown with a confused expression on her face. This could be because she is lost or unsure of what to do next. She might be trying to find her way out of the dark forest or navigating through an unfamiliar environment. It could also be a moment of introspection, where she is pondering over a difficult decision or situation. The confusion on her face could be a reflection of her current state of mind and the challenges she is facing in her life or adventure.",Confused What could be the reason for that?,2024-02-28 14:32:32.000000,10.58806586265564,dislike,1
9,1709130798384,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Does she has a lover?,"No, Ariel does not have a lover in the image.","No, Ariel does not have a lover in the image.","Ariel, the Disney character in the image, is shown with a confused expression on her face. This could be because she is lost or unsure of what to do next. She might be trying to find her way out of the dark forest or navigating through an unfamiliar environment. It could also be a moment of introspection, where she is pondering over a difficult decision or situation. The confusion on her face could be a reflection of her current state of mind and the challenges she is facing in her life or adventure. Does she has a lover?",2024-02-28 14:33:20.000000,2.6255600452423096,dislike,1
10,1709130809200,https://th.bing.com/th/id/R.498589db9a3498c7ea59697b1a199c76?rik=HyKxZeH0PARdhg&riu=http%3a%2f%2fimages6.fanpop.com%2fimage%2fphotos%2f36600000%2fDisney-Princess-image-disney-princess-36601083-300-169.jpg&ehk=fvIt5U5Z1k3tW47il1XI%2fmDkt34M%2f28RUHwgrh7YV3g%3d&risl=&pid=ImgRaw&r=0,Who does she fall in love with?,prince eric,prince eric,"No, Ariel does not have a lover in the image. Who does she fall in love with?",2024-02-28 14:33:29.000000,0.9528679847717285,like,1
