,id,msg_timestamp,img_url,user_msg,bot_msg,date,runtime,feedback,user_id,sum_msg,prompt_len,prompt,prompt_num,user_len,bot_len,summarise,sum_len,exceed_limit
0,1,1708917268400,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Describe this image.,"A black and white photograph captures the RMS Titanic as it sails through the water. The ship is surrounded by smoke, which is emitted from its smokestacks. The vessel is visible in the center of the image, with several other boats nearby. The Titanic appears to be a large and impressive vessel, with many people on board. It is an iconic image of the famous ship that has become synonymous with its tragic fate.",2024-02-26 03:14:50.000000,21.76162815093994,like,1,Describe this image.,20,Describe this image.,0,20,413,0,20,0
1,2,1708917454548,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is its name?,RMS Titanic 1912,2024-02-26 03:17:36.000000,1.7522037029266355,like,1,What is its name?,17,What is its name?,0,17,16,0,17,0
2,3,1708917464412,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Where is it now?,in water 2,2024-02-26 03:17:45.000000,1.1959095001220703,dislike,1,Where is it now?,16,Where is it now?,0,16,10,0,16,0
3,4,1708917474925,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How many people survived this tragedy?,705,2024-02-26 03:17:56.000000,1.1228997707366943,like,1,How many people survived this tragedy?,38,How many people survived this tragedy?,0,38,3,0,38,0
4,5,1708917482252,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Is there any movie related to this incident?,titanic,2024-02-26 03:18:03.000000,1.03304123878479,dislike,1,Is there any movie related to this incident?,44,Is there any movie related to this incident?,0,44,7,0,44,0
5,6,1708917490189,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Why is it popular?,it is a historic ship,2024-02-26 03:18:11.000000,1.168761968612671,like,1,Why is it popular?,18,Why is it popular?,0,18,21,0,18,0
6,7,1708917499638,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,Who was the director?,james cameron 1997 film,2024-02-26 03:18:21.000000,1.8175418376922607,like,1,Who was the director?,21,Who was the director?,0,21,23,0,21,0
7,8,1708917508781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What are other movies of him?,titanic,2024-02-26 03:18:30.000000,1.0194861888885498,dislike,1,What are other movies of him?,29,What are other movies of him?,0,29,7,0,29,0
8,9,1708917516797,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What is his most successful film?,Titanic 1997,2024-02-26 03:18:38.000000,1.5663502216339111,dislike,1,What is his most successful film?,33,What is his most successful film?,0,33,12,0,33,0
9,10,1708917527781,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,How to watch that movie?,in theater,2024-02-26 03:18:48.000000,1.026824951171875,dislike,1,How to watch that movie?,24,How to watch that movie?,0,24,10,0,24,0
10,11,1708917535607,https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSuJHaUt4a0J7nSCnLSsC_YjJXVzio_GsD5x_2Zp8JAVpALt3pgdtd0xM8YFA_4N52g,What emotions I might have when watching that?,"I might feel a sense of nostalgia while watching an old black and white photograph of the Titanic ship in the water. This image captures a moment from the past, reminding me of the historical significance of the Titanic's tragic story and its impact on the maritime industry. It also evokes a sense of wonder and awe at the sheer size and grandeur of the ship, which was once considered one of the most advanced and luxurious vessels of its time. The emotions associated with this image can range from sadness for those who lost their lives during the disaster to admiration for the engineering and design that went into building such a magnificent vessel.",2024-02-26 03:19:14.000000,18.526448011398315,dislike,1,What emotions I might have when watching that?,46,What emotions I might have when watching that?,0,46,656,0,46,0
11,12,1708917657203,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who are the characters in the image?,"The characters in the image are Phineas, Ferb, and Candace from the animated TV show ""Phineas and Ferb.""",2024-02-26 03:21:06.000000,7.68181037902832,like,1,Who are the characters in the image?,36,Who are the characters in the image?,0,36,104,0,36,0
12,13,1708917671667,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many characters are there in the image?,There are four characters in the image.,2024-02-26 03:21:13.000000,1.4059650897979736,like,1,How many characters are there in the image?,43,How many characters are there in the image?,0,43,39,0,43,0
13,14,1708917678203,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",What are they doing?,They are riding in a car together.,2024-02-26 03:21:19.000000,1.4845101833343506,like,1,What are they doing?,20,What are they doing?,0,20,34,0,20,0
14,15,1708917718621,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Where are they from?,Phineas and Ferb,2024-02-26 03:22:00.000000,1.556020736694336,like,1,Where are they from?,20,Where are they from?,0,20,16,0,20,0
15,16,1708917728214,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How long is an episode?,22 minutes,2024-02-26 03:22:10.000000,1.0377922058105469,like,1,How long is an episode?,23,How long is an episode?,0,23,10,0,23,0
16,17,1708917734213,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How many seasons are there?,3,2024-02-26 03:22:15.000000,0.8529999256134033,dislike,1,How many seasons are there?,27,How many seasons are there?,0,27,1,0,27,0
17,18,1708917742230,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who is the villain in the series?,Captain Stickybeard,2024-02-26 03:22:23.000000,1.112485408782959,dislike,1,Who is the villain in the series?,33,Who is the villain in the series?,0,33,19,0,33,0
18,19,1708917749759,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Who are the main characters in the series?,"The main characters in the series are Phineas Flynn, Ferb Fletcher, Candace Flynn, and Isabella Garcia-Shapiro.",2024-02-26 03:22:38.000000,8.543328285217285,like,1,Who are the main characters in the series?,42,Who are the main characters in the series?,0,42,111,0,42,0
19,20,1708917761983,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",How are they related?,siblings,2024-02-26 03:22:43.000000,0.8673579692840576,dislike,1,How are they related?,21,How are they related?,0,21,8,0,21,0
20,21,1708917771502,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",Do they have girlfriends?,no,2024-02-26 03:22:52.000000,0.9378468990325928,dislike,1,Do they have girlfriends?,25,Do they have girlfriends?,0,25,2,0,25,0
21,22,1708917778607,"https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_mobile_21235_7084ca26.jpeg?region=0,0,640,480",What do they do?,drive,2024-02-26 03:22:59.000000,0.7681615352630615,dislike,1,What do they do?,16,What do they do?,0,16,5,0,16,0
22,23,1708917857123,https://hips.hearstapps.com/hmg-prod/images/close-up-of-tulips-blooming-in-field-royalty-free-image-1584131603.jpg,Where is this flower?,in field 2,2024-02-26 03:24:19.000000,1.1666572093963623,dislike,1,Where is this flower?,21,Where is this flower?,0,21,10,0,21,0
